,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
247,57672,65440,64983,65400,65487,38,61150
248,57661,65437,64995,65400,65483,38,61148
249,57667,65429,65006,65400,65476,36,61147
250,57650,65431,64999,65402,65474,35,61145
251,57653,65423,65008,65401,65475,35,61144
252,57652,65427,64994,65401,65477,37,61149
253,57664,65433,65002,65402,65478,35,61150
254,57668,65445,65006,65401,65476,36,61150
255,57680,65436,64996,65401,65474,36,61151
256,57692,65441,64991,65401,65475,36,61148
257,57689,65435,64994,65402,65476,35,61145
258,57684,65436,65002,65398,65476,36,61144
259,57681,65426,64996,65399,65476,36,61145
260,57672,65430,65007,65400,65475,36,61147
261,57671,65432,65010,65400,65476,36,61149
262,57668,65421,65002,65400,65477,35,61148
263,57665,65423,64996,65400,65475,35,61148
264,57668,65418,65001,65401,65476,37,61147
265,57679,65427,64994,65401,65478,35,61148
266,57682,65433,65008,65400,65477,36,61146
267,57680,65434,64994,65400,65476,35,61148
268,57676,65433,64992,65399,65478,35,61148
269,57674,65439,65001,65400,65477,35,61149
270,57677,65435,64993,65400,65476,36,61148
271,57680,65427,65004,65400,65476,38,61148
272,57671,65430,65004,65400,65475,37,61148
273,57676,65430,64992,65401,65477,37,61146
274,57676,65427,64998,65402,65476,35,61150
275,57671,65424,65005,65400,65477,36,61149
276,57682,65431,64993,65401,65478,37,61147
277,57669,65430,64989,65400,65478,35,61147
278,57677,65435,64996,65400,65481,34,61148
279,57673,65436,64999,65399,65481,37,61147
280,57675,65425,65003,65400,65479,37,61150
281,57673,65426,64994,65400,65477,38,61151
282,57678,65430,65005,65400,65477,39,61147
283,57683,65433,64991,65399,65478,38,61149
284,57680,65437,65002,65400,65477,37,61148
285,57673,65434,64991,65400,65477,35,61146
286,57681,65434,64997,65402,65465,34,61148
287,57697,65436,64990,65402,65474,35,61146
288,57688,65435,64989,65402,65474,33,61145
289,57687,65433,64992,65401,65474,33,61148
290,57679,65430,64998,65401,65474,35,61148
291,57674,65430,64996,65400,65472,37,61151
292,57677,65422,64994,65400,65473,35,61153
293,57675,65434,64987,65401,65475,36,61151
294,57686,65432,64996,65401,65476,36,61150
295,57679,65429,64998,65399,65478,37,61150
296,57670,65432,65006,65400,65478,36,61148
297,57674,65426,65010,65400,65477,37,61148
298,57670,65429,65001,65400,65478,36,61145
299,57673,65432,64989,65400,65478,36,61146
300,57672,65431,65001,65400,65478,34,61143
301,57672,65435,64995,65400,65478,35,61145
302,57673,65430,64993,65401,65476,34,61149
303,57674,65425,64986,65400,65476,35,61147
304,57670,65440,64983,65398,65476,35,61150
305,57683,65431,64990,65400,65478,34,61147
306,57677,65432,64993,65401,65477,34,61147
307,57667,65434,65003,65401,65475,34,61148
308,57671,65428,64994,65399,65476,35,61147
309,57674,65441,64997,65400,65477,35,61146
310,57673,65437,64993,65401,65476,35,61147
311,57673,65440,64991,65399,65475,35,61145
312,57670,65430,64998,65399,65475,35,61149
313,57673,65431,64997,65400,65477,37,61152
314,57680,65430,65004,65400,65476,36,61150
315,57671,65426,64993,65400,65477,36,61147
316,57676,65425,64992,65401,65476,34,61146
317,57677,65429,64999,65401,65477,34,61148
318,57677,65429,65000,65401,65477,37,61151
319,57680,65429,65002,65400,65477,34,61147
320,57672,65431,64999,65399,65476,35,61148
321,57671,65426,64989,65400,65475,34,61150
322,57670,65429,64993,65401,65478,35,61145
323,57674,65435,65004,65400,65475,32,61147
324,57679,65432,64992,65400,65477,35,61146
325,57666,65431,64995,65399,65474,36,61150
326,57669,65439,64993,65398,65476,35,61148
327,57670,65438,65000,65400,65476,34,61147
328,57677,65439,65003,65400,65476,37,61146
329,57664,65440,64990,65400,65478,36,61144
330,57665,65434,64997,65400,65476,38,61148
331,57669,65434,64997,65400,65475,37,61146
332,57671,65431,64989,65400,65478,38,61146
333,57678,65435,64996,65400,65477,35,61145
334,57678,65435,65007,65399,65475,35,61147
335,57676,65439,64997,65400,65477,35,61148
336,57669,65435,64983,65400,65477,36,61146
