,acc_x,acc_y,acc_z,gyro_x,gyro_y,gyro_z,temp
266,171,1,1838,65266,65417,70,61155
267,173,0,1840,65266,65417,69,61155
268,172,1,1839,65267,65414,73,61159
269,170,1,1840,65268,65415,74,61157
270,171,65535,1841,65267,65413,71,61156
271,175,1,1844,65266,65412,70,61157
272,173,65534,1841,65265,65413,69,61156
273,171,65535,1836,65265,65417,69,61153
274,173,0,1840,65267,65415,70,61156
275,173,0,1841,65266,65416,75,61156
276,172,1,1842,65267,65417,73,61154
277,174,1,1840,65267,65417,71,61157
278,173,2,1842,65267,65416,72,61152
279,173,0,1839,65267,65415,68,61152
280,172,0,1838,65266,65414,69,61153
281,173,2,1840,65264,65414,74,61153
282,173,65535,1839,65267,65417,70,61155
283,172,0,1837,65266,65415,71,61153
284,173,0,1837,65265,65415,76,61155
285,171,65535,1838,65267,65416,74,61157
286,171,0,1840,65267,65412,72,61157
287,171,2,1839,65270,65415,70,61157
288,171,1,1839,65268,65416,71,61156
289,171,0,1839,65268,65418,75,61156
290,172,0,1839,65266,65415,72,61156
291,171,0,1840,65267,65411,69,61152
292,173,0,1838,65268,65416,73,61157
293,172,0,1836,65267,65417,70,61153
294,173,2,1838,65267,65418,72,61156
295,174,1,1841,65267,65416,75,61153
296,171,65535,1837,65267,65413,75,61158
297,172,1,1839,65270,65416,72,61156
298,172,3,1840,65267,65414,71,61156
299,171,0,1838,65267,65416,71,61157
300,172,0,1838,65265,65418,70,61157
301,173,2,1837,65267,65416,71,61159
302,172,0,1834,65269,65423,75,61157
303,173,1,1836,65267,65421,73,61156
304,174,0,1839,65265,65418,71,61157
305,172,1,1840,65266,65418,74,61158
306,171,2,1837,65264,65416,72,61157
307,172,0,1840,65263,65418,70,61157
308,172,65535,1840,65265,65413,71,61155
309,172,1,1840,65266,65415,71,61156
310,172,2,1841,65267,65420,70,61158
311,171,2,1841,65264,65417,70,61159
312,173,1,1841,65267,65413,72,61157
313,172,1,1839,65263,65416,74,61157
314,169,0,1838,65266,65414,72,61157
315,172,0,1838,65267,65413,73,61157
316,174,0,1838,65265,65415,73,61155
317,174,0,1838,65265,65416,73,61156
318,173,1,1838,65264,65416,74,61154
319,172,65535,1838,65262,65418,71,61153
320,173,1,1839,65263,65415,73,61154
321,174,1,1839,65264,65413,71,61153
322,170,1,1837,65266,65414,65,61155
323,170,1,1841,65264,65415,72,61155
324,171,0,1840,65267,65417,70,61157
325,172,0,1838,65268,65415,74,61156
326,172,0,1838,65267,65416,73,61156
327,172,2,1839,65265,65416,72,61158
328,170,0,1841,65266,65416,74,61158
329,171,1,1840,65267,65413,72,61156
330,169,2,1840,65268,65415,74,61155
331,170,0,1839,65268,65417,74,61157
332,171,0,1838,65267,65416,72,61153
333,173,0,1841,65266,65417,71,61155
334,173,1,1841,65266,65413,75,61157
335,173,0,1840,65267,65414,71,61155
336,173,0,1840,65267,65412,75,61154
337,175,65535,1842,65266,65419,78,61154
338,173,1,1837,65267,65416,74,61153
339,171,65535,1840,65260,65410,77,61153
340,172,1,1840,65266,65417,71,61155
341,171,65535,1840,65265,65414,68,61152
342,172,65535,1839,65265,65413,72,61154
343,173,1,1839,65266,65413,76,61156
344,171,1,1838,65268,65416,74,61156
345,172,0,1838,65266,65414,70,61157
346,172,0,1839,65265,65412,71,61155
347,172,0,1840,65266,65415,71,61157
348,171,0,1842,65267,65414,74,61154
349,171,1,1839,65269,65415,75,61155
350,173,1,1838,65268,65415,73,61157
351,173,1,1838,65264,65418,71,61156
352,175,65535,1838,65267,65417,69,61155
353,171,0,1840,65268,65416,72,61158
354,173,65535,1841,65270,65418,75,61157
355,171,65535,1840,65265,65414,74,61156
356,170,1,1839,65268,65418,72,61157
357,171,1,1839,65264,65417,71,61155
358,173,1,1841,65267,65418,70,61155
359,171,65535,1843,65268,65419,69,61154
360,172,65535,1841,65263,65418,78,61155
361,172,0,1838,65266,65415,80,61154
362,172,65535,1839,65267,65414,76,61153
363,173,0,1840,65269,65416,72,61156
364,170,1,1840,65267,65418,73,61155
365,170,0,1840,65271,65419,75,61154
366,172,0,1838,65266,65416,76,61156
367,171,65535,1838,65268,65422,77,61158
368,170,1,1838,65264,65417,70,61158
369,172,2,1839,65265,65415,72,61159
370,172,1,1841,65269,65417,72,61158
371,173,3,1844,65267,65418,72,61155
372,173,2,1841,65265,65417,73,61158
373,175,0,1837,65266,65413,67,61156
374,172,0,1838,65265,65413,74,61155
375,172,0,1839,65266,65418,74,61158
376,171,1,1838,65266,65416,74,61156
377,172,1,1839,65264,65417,72,61157
378,169,0,1841,65264,65419,70,61156
379,171,2,1839,65266,65420,74,61159
380,172,2,1841,65266,65417,72,61157
381,172,1,1840,65267,65416,70,61158
382,171,0,1842,65267,65412,70,61156
383,173,0,1841,65267,65418,71,61156
384,173,0,1838,65270,65418,72,61156
385,171,1,1841,65267,65414,75,61155
386,173,2,1840,65270,65414,73,61156
387,174,2,1839,65270,65417,72,61156
388,172,65535,1842,65267,65417,68,61155
389,171,65533,1840,65267,65417,69,61157
390,170,0,1838,65264,65417,69,61157
391,171,1,1836,65268,65418,73,61157
392,173,0,1838,65262,65410,75,61156
393,172,0,1840,65266,65415,72,61159
394,171,0,1838,65267,65418,76,61160
395,170,0,1838,65267,65415,72,61160
396,172,65535,1839,65267,65416,72,61158
397,171,65534,1840,65266,65417,75,61159
398,174,2,1839,65267,65411,71,61157
399,173,2,1838,65265,65413,68,61154
400,173,1,1841,65265,65415,70,61155
401,173,0,1837,65266,65414,72,61154
402,174,1,1840,65263,65415,71,61152
403,172,65533,1839,65273,65419,68,61156
404,172,1,1840,65265,65415,72,61155
405,173,0,1838,65268,65414,71,61157
406,172,0,1838,65267,65418,74,61160
407,171,1,1839,65266,65418,74,61158
408,171,1,1837,65265,65416,77,61158
409,171,1,1838,65267,65413,75,61160
410,171,1,1840,65262,65414,71,61156
411,172,0,1842,65265,65415,73,61156
412,172,1,1839,65267,65414,73,61159
413,171,1,1839,65270,65416,74,61155
414,173,0,1836,65267,65416,74,61153
415,171,0,1835,65266,65416,72,61154
416,170,0,1836,65268,65420,72,61156
417,173,65535,1836,65265,65418,73,61154
418,171,65535,1839,65268,65415,71,61157
419,171,0,1840,65265,65417,73,61157
420,172,1,1841,65270,65417,71,61157
421,171,3,1840,65268,65417,73,61155
422,171,1,1835,65268,65418,72,61156
423,172,0,1838,65267,65416,69,61160
424,172,1,1839,65266,65416,71,61160
425,169,2,1841,65269,65417,69,61158
426,170,1,1841,65264,65416,69,61159
427,171,1,1844,65265,65416,72,61160
428,171,65534,1839,65268,65415,69,61160
429,173,0,1841,65264,65417,73,61161
430,172,1,1840,65262,65418,70,61160
431,174,65535,1840,65267,65417,70,61158
432,175,1,1841,65266,65418,71,61159
433,173,2,1841,65265,65415,76,61159
434,173,1,1837,65265,65413,74,61160
435,172,65535,1840,65265,65417,72,61159
436,173,1,1840,65265,65414,72,61158
437,172,3,1841,65265,65416,73,61156
438,172,2,1840,65265,65414,72,61156
439,171,2,1841,65265,65417,71,61155
440,173,3,1839,65265,65414,71,61157
441,173,2,1839,65266,65413,75,61156
442,174,0,1839,65268,65414,71,61155
443,172,1,1838,65266,65415,70,61155
444,173,1,1840,65267,65413,71,61157
445,175,0,1841,65268,65417,71,61155
446,173,0,1841,65266,65417,71,61157
447,174,1,1839,65266,65419,70,61156
448,172,65535,1841,65268,65414,70,61157
449,172,2,1840,65268,65415,68,61156
450,170,0,1840,65269,65414,66,61159
451,171,0,1841,65267,65418,70,61157
452,169,0,1841,65267,65416,69,61155
453,172,0,1839,65266,65417,69,61153
454,172,0,1837,65267,65415,70,61156
455,172,1,1840,65267,65418,76,61156
456,171,1,1838,65271,65417,75,61153
457,170,1,1841,65266,65414,74,61151
458,173,1,1838,65267,65414,70,61153
459,173,0,1837,65266,65412,72,61158
460,171,0,1839,65264,65415,72,61158
461,173,2,1840,65264,65416,71,61157
462,173,0,1838,65267,65415,73,61156
463,172,2,1837,65263,65417,76,61156
464,171,0,1839,65267,65416,72,61158
465,173,0,1839,65266,65418,71,61156
466,170,2,1841,65266,65418,74,61156
467,173,0,1838,65265,65413,70,61155
468,171,0,1840,65267,65417,72,61158
469,173,1,1838,65267,65417,71,61156
470,173,65535,1840,65268,65414,70,61155
